0, ms PITCH YAW ROLL Fist OpenHand PuppetHand Fingerpoint;
1, 33 0. 0. 0. 0. 0. 0.;
2, 66 0. 0. 0. 0. 0. 0.;
3, 99 0. 0. 0. 0. 0. 0.;
4, 132 0. 0. 0. 0. 0. 0.;
5, 165 0. 0. 0. 0. 0. 0.;
6, 198 0. 0. 0. 0. 0. 0.;
7, 231 0. 0. 0. 0. 0. 0.;
8, 264 0. 0. 0. 0. 0. 0.;
9, 297 0. 0. 0. 0. 0. 0.;
10, 330 0. 0. 0. 0. 0. 0.;
11, 363 0. 0. 0. 0. 0. 0.;
12, 396 0. 0. 0. 0. 0. 0.;
13, 429 0. 0. 0. 0. 0. 0.;
14, 462 0. 0. 0. 0. 0. 0.;
15, 495 0. 0. 0. 0. 0. 0.;
16, 528 0. 0. 0. 0. 0. 0.;
17, 561 0. 0. 0. 0. 0. 0.;
18, 594 0. 0. 0. 0. 0. 0.;
19, 627 0. 0. 0. 0. 0. 0.;
20, 660 0. 0. 0. 0. 0. 0.;
21, 693 0. 0. 0. 0. 0. 0.;
22, 726 0. 0. 0. 0. 0. 0.;
23, 759 0. 0. 0. 0. 0. 0.;
24, 792 0. 0. 0. 0. 0. 0.;
25, 825 0. 0. 0. 0. 0. 0.;
26, 858 0. 0. 0. 0. 0. 0.;
27, 891 0. 0. 0. 0. 0. 0.;
28, 924 0. 0. 0. 0. 0. 0.;
29, 957 0. 0. 0. 0. 0. 0.;
30, 990 0. 0. 0. 0. 0. 0.;
31, 1023 0. 0. 0. 0. 0. 0.;
32, 1056 0. 0. 0. 0. 0. 0.;
33, 1089 0. 0. 0. 0. 0. 0.;
34, 1122 0. 0. 0. 0. 0. 0.;
35, 1155 0. 0. 0. 0. 0. 0.;
36, 1188 0. 0. 0. 0. 0. 0.;
37, 1221 0. 0. 0. 0. 0. 0.;
38, 1254 0. 0. 0. 0. 0. 0.;
39, 1287 0. 0. 0. 0. 0. 0.;
40, 1320 0. 0. 0. 0. 0. 0.;
41, 1353 0. 0. 0. 0. 0. 0.;
42, 1386 0. 0. 0. 0. 0. 0.;
43, 1419 0. 0. 0. 0. 0. 0.;
44, 1452 0. 0. 0. 0. 0. 0.;
45, 1485 0. 0. 0. 0. 0. 0.;
46, 1518 0. 0. 0. 0. 0. 0.;
47, 1551 0. 0. 0. 0. 0. 0.;
48, 1584 0. 0. 0. 0. 0. 0.;
49, 1617 0. 0. 0. 0. 0. 0.;
50, 1650 0. 0. 0. 0. 0. 0.;
51, 1683 0. 0. 0. 0. 0. 0.;
52, 1716 0. 0. 0. 0. 0. 0.;
53, 1749 0. 0. 0. 0. 0. 0.;
54, 1782 0. 0. 0. 0. 0. 0.;
55, 1815 0. 0. 0. 0. 0. 0.;
56, 1848 0. 0. 0. 0. 0. 0.;
57, 1881 0. 0. 0. 0. 0. 0.;
58, 1914 0. 0. 0. 0. 0. 0.;
59, 1947 0. 0. 0. 0. 0. 0.;
60, 1980 0. 0. 0. 0. 0. 0.;
61, 2013 0. 0. 0. 0. 0. 0.;
62, 2046 0. 0. 0. 0. 0. 0.;
63, 2079 0. 0. 0. 0. 0. 0.;
64, 2112 0. 0. 0. 0. 0. 0.;
65, 2145 0. 0. 0. 0. 0. 0.;
66, 2178 0. 0. 0. 0. 0. 0.;
67, 2211 0. 0. 0. 0. 0. 0.;
68, 2244 0. 0. 0. 0. 0. 0.;
69, 2277 0. 0. 0. 0. 0. 0.;
70, 2310 0. 0. 0. 0. 0. 0.;
71, 2343 0. 0. 0. 0. 0. 0.;
72, 2376 0. 0. 0. 0. 0. 0.;
73, 2409 0. 0. 0. 0. 0. 0.;
74, 2442 0. 0. 0. 0. 0. 0.;
75, 2475 0. 0. 0. 0. 0. 0.;
76, 2508 0. 0. 0. 0. 0. 0.;
