0, ms PITCH YAW ROLL Fist OpenHand PuppetHand Fingerpoint;
1, 33 0. 0. 0. 0. 0. 0.;
2, 66 0. 0. 0. 0. 0. 0.;
3, 99 0. 0. 0. 0. 0. 0.;
4, 132 0. 0. 0. 0. 0. 0.;
5, 165 0. 0. 0. 0. 0. 0.;
6, 198 0. 0. 0. 0. 0. 0.;
7, 231 0. 0. 0. 0. 0. 0.;
8, 264 0. 0. 0. 0. 0. 0.;
9, 297 0. 0. 0. 0. 0. 0.;
10, 330 0. 0. 0. 0. 0. 0.;
11, 363 0. 0. 0. 0. 0. 0.;
12, 396 0. 0. 0. 0. 0. 0.;
13, 429 0. 0. 0. 0. 0. 0.;
14, 462 0. 0. 0. 0. 0. 0.;
15, 495 0. 0. 0. 0. 0. 0.;
16, 528 0. 0. 0. 0. 0. 0.;
17, 561 0. 0. 0. 0. 0. 0.;
18, 594 0. 0. 0. 0. 0. 0.;
19, 627 0. 0. 0. 0. 0. 0.;
20, 660 0. 0. 0. 0. 0. 0.;
21, 693 0. 0. 0. 0. 0. 0.;
